2#大烟道负压,CO浓度_mg_m3
-14.267,3116.681
-14.281,3224.465
-14.275,3350.333
-14.299,3315.972
-14.293,3327.546
-14.299,3257.74
-14.211,3209.274
-14.225,3166.233
-14.147,3253.038
-14.171,3097.873
-14.219,3166.233
-14.232,3193.359
-14.177,3197.338
-14.184,3224.465
-14.138,3197.7
-14.211,3284.867
-14.219,3254.123
-14.237,3209.635
-14.202,3220.486
-14.228,3265.335
-14.213,3335.142
-14.224,3216.869
-14.211,3186.126
-14.188,3191.912
-14.251,3257.74
-14.232,3330.802
-14.27,3342.737
-14.28,3376.013
-14.294,3372.396
-14.24,3361.183
-14.239,3338.759
-14.252,3383.608
-14.268,3453.053
-14.301,3407.118
-14.305,3380.353
-14.315,3300.419
-14.31,3308.015
-14.346,3277.995
-14.32,3335.142
-14.341,3387.949
-14.293,3461.01
-14.267,3594.112
-14.288,3696.832
-14.297,3642.94
-14.278,3601.346
-14.265,3551.794
-14.268,3563.73
-14.327,3525.029
-14.315,3399.523
-14.338,3315.972
-14.298,3414.713
-14.117,3475.839
-14.375,3666.088
-14.307,3905.527
-14.291,3673.683
-14.33,3611.834
-14.303,3429.905
-14.324,3379.992
-14.308,3364.8
-14.155,3391.204
-14.073,3505.859
-14.128,3741.681
-14.094,3855.975
-14.111,3855.614
-14.122,3783.637
-14.09,3776.403
-14.064,3841.146
-14.092,3833.55
-14.136,3901.91
-14.134,3814.019
-14.117,3768.808
-14.116,3844.401
-14.09,3841.146
-14.096,3799.19
-14.063,3798.828
-14.074,3871.166
-14.044,3966.291
-14.079,3969.908
-14.08,4084.563
-14.094,4111.328
-14.111,4121.817
-14.096,4141.348
-14.068,4137.37
-14.067,4015.48
-14.071,4073.713
-14.094,3996.311
-14.081,4034.288
-14.097,3966.291
-14.092,3893.591
-14.105,3943.866
-14.134,3958.695
-14.108,4046.947
-14.106,4061.777
-14.122,4098.307
-14.132,4054.543
-14.12,4054.543
-14.099,4080.584
-14.127,3988.715
-14.154,4008.247
-14.149,4023.438
-14.122,3919.994
-14.128,3901.186
-14.11,3833.55
-14.082,3775.318
-14.085,3719.618
-14.075,3628.111
-14.074,3582.176
-14.072,3558.304
-14.063,3547.815
-14.098,3574.942
-14.087,3571.325
-14.089,3494.285
-14.037,3547.815
-14.026,3578.921
-14.0,3571.325
-14.045,3505.498
-14.021,3490.669
-14.015,3528.646
-14.026,3525.029
-14.053,3464.989
-14.07,3426.287
-14.031,3357.928
-14.002,3254.123
-14.06,3205.295
-14.093,3212.891
-14.128,3257.74
-14.141,3197.7
-14.183,3304.037
-14.161,3354.311
-14.188,3391.927
-14.155,3438.223
-13.893,3346.354
-13.837,3319.951
-13.787,3257.74
-13.789,3372.396
-13.804,3505.498
-13.782,3433.883
-13.779,3437.5
-13.787,3453.415
-13.758,3418.692
-13.737,3461.01
-13.754,3438.223
-13.717,3383.608
-13.692,3457.031
-13.625,3578.921
-13.613,3604.963
-13.666,3723.235
-13.718,3768.084
-13.743,3650.897
-13.78,3617.622
-13.752,3631.004
-13.77,3708.044
-13.815,3704.789
-13.799,3707.682
-13.8,3627.387
-13.789,3757.234
-13.758,3791.956
-13.758,3844.04
-13.703,3866.826
-13.691,3874.783
-13.719,3981.12
-13.732,4065.755
-13.719,4137.37
-13.744,4123.987
-13.774,4188.006
-13.763,4176.071
-13.763,4195.24
-13.751,4199.581
-13.824,4196.325
-13.963,4313.875
-14.038,4754.413
-14.632,4852.431
-14.587,4597.801
-14.622,4628.544
-14.647,4678.458
-14.657,4621.311
-14.649,4549.335
-14.654,4490.379
-14.654,4393.085
-14.646,4328.342
-14.641,4267.578
-14.657,4243.707
-14.629,4195.602
-14.692,4283.131
-14.643,4385.127
-14.705,4294.343
-14.28,4396.702
-14.179,4252.387
-14.176,4190.9
-14.176,4134.115
-14.181,4129.774
-14.145,4168.475
-14.191,4184.39
-14.195,4236.835
-14.158,4267.216
-14.157,4180.049
-14.53,4317.491
-14.612,4332.682
-14.612,4301.939
-14.603,4240.452
-14.598,4259.621
-14.591,4271.557
-14.578,4329.427
-14.606,4365.958
-14.611,4310.257
-14.684,4217.303
-14.62,4295.066
-14.616,4214.41
-15.152,4435.041
-15.146,4472.294
-15.122,4667.607
-15.166,4705.223
-15.12,4755.136
-15.068,4624.566
-15.158,4670.862
-15.127,4564.525
-15.181,4567.781
-15.139,4555.845
-14.892,4541.377
-14.583,4399.233
-14.544,4157.625
-14.553,4046.224
-14.38,4102.648
-14.392,4160.518
-14.355,4207.176
-14.405,4210.431
-14.409,4244.792
-14.443,4271.195
-14.432,4191.985
-14.564,4095.052
-14.525,4027.778
-14.542,3953.27
-14.531,3837.891
-14.421,3814.381
-14.391,3741.681
-14.414,3501.519
-14.151,885.778
-14.136,3357.567
-14.142,3642.94
-14.142,3646.919
-14.157,3674.407
-14.165,3615.451
-14.136,3616.175
-14.145,3604.963
-14.132,3631.727
-14.127,3598.09
-14.119,3598.09
-14.089,3586.878
-14.115,3438.223
-14.149,3354.311
-14.15,3300.419
-14.174,3269.314
-14.157,3331.163
-14.173,3395.544
-14.147,3448.713
-14.136,3426.287
-14.123,3464.989
-14.138,3453.415
-14.16,3365.162
-14.12,3475.839
-14.406,3521.05
-14.442,3524.305
-14.455,3567.347
-14.435,3525.029
-14.412,3498.264
-14.408,3486.328
-14.387,3517.433
-14.386,3619.792
-14.406,3616.175
-14.406,3631.366
-14.412,3567.347
-14.418,3501.881
-14.44,3422.309
-14.162,3386.14
-14.138,3342.737
-14.131,3257.74
-14.171,3304.037
-14.117,3212.891
-14.119,3166.233
-14.059,3238.571
-14.068,3286.314
-14.048,3361.183
-14.071,3449.436
-14.09,3403.139
-14.112,3407.118
-14.099,3438.223
-14.111,3430.628
-14.123,3423.033
-14.096,3418.692
-14.087,3498.264
-14.082,3525.029
-14.135,3525.029
-14.073,3494.285
-14.102,3517.433
-14.117,3610.026
-14.125,3563.73
-14.109,3594.112
-14.143,3616.175
-14.139,3547.815
-14.111,3574.942
-14.116,3528.284
-14.123,3498.264
-14.128,3552.156
-14.094,3624.132
-14.117,3650.535
-14.113,3662.471
-14.101,3556.135
-14.106,3544.199
-14.038,3563.73
-14.045,3520.689
-14.025,3475.839
-13.987,3433.883
-13.987,3395.182
-13.973,3433.883
-13.982,3461.01
-14.004,3461.01
-13.982,3395.544
-13.992,3509.838
-14.01,3642.94
-14.022,3586.516
-14.033,3601.346
-14.015,3608.579
-14.052,3563.73
-14.064,3540.22
-14.211,3457.031
-14.214,3426.287
-14.228,3457.031
-14.235,3411.097
-14.219,3460.648
-14.218,3494.285
-14.204,3461.01
-14.21,3479.094
-14.19,3567.347
-14.196,3563.006
-14.202,3528.646
-14.232,3525.029
-14.242,3566.623
-14.251,3505.859
-14.248,3426.287
-14.232,3391.927
-14.233,3406.033
-14.251,3354.311
-14.239,3399.523
-14.243,3404.586
-14.245,3445.819
-14.27,3479.456
-14.258,3528.646
-14.266,3575.666
-14.3,3552.156
-14.572,3479.456
-14.567,3435.692
-14.549,3422.309
-14.574,3391.927
-14.553,3376.736
-14.544,3357.567
-14.547,3319.951
-14.557,3265.335
-14.536,3272.57
-14.542,3232.06
-14.537,3242.549
-14.547,3216.869
-14.516,3254.123
-14.495,3269.676
-14.525,3257.74
-14.521,3284.867
-14.529,3288.846
-14.547,3376.736
-14.518,3387.587
-14.5,3414.713
-14.484,3407.118
-14.5,3395.544
-14.5,3395.544
-14.499,3304.037
-14.508,3319.951
-14.511,3280.527
-14.47,3284.867
-14.479,3319.951
-14.508,3331.163
-14.511,3246.528
-14.484,3232.06
-14.491,3239.294
-14.496,3284.867
-14.51,3368.417
-14.516,3331.163
-14.521,3246.528
-14.511,3158.999
-14.489,3131.872
-14.461,3106.192
-14.462,3131.872
-14.442,3083.767
-14.434,3139.468
-14.434,3116.681
-14.429,3158.637
-14.425,3116.681
-14.368,3067.853
-14.38,3112.703
-14.369,3139.106
-14.36,3151.403
-14.341,3193.721
-14.538,3166.233
-14.552,3205.295
-14.647,3219.763
-14.641,3234.592
-14.661,3296.441
-14.661,3351.418
-14.612,3308.015
-14.601,3270.037
-14.613,3254.123
-14.589,3212.167
-14.598,3150.318
-14.608,3139.468
-14.596,3135.127
-14.587,3154.297
-14.578,3177.084
-14.603,3234.954
-14.582,3338.759
-14.579,3368.417
-14.62,3414.713
-14.636,3510.2
-14.638,3574.942
-14.617,3601.346
-14.349,3639.323
-14.369,3504.774
-14.308,3422.309
-14.342,3419.054
-14.31,3422.309
-14.318,3357.567
-14.299,3368.417
-14.327,3379.992
-14.329,3422.309
-14.322,3438.223
-14.35,3516.71
-14.372,3528.646
-14.387,3574.942
-14.395,3649.812
-14.394,3650.535
-14.411,3725.767
-14.399,3715.639
-14.405,3737.703
-14.399,3708.044
-14.421,3726.852
-14.391,3723.235
-14.408,3654.876
-14.413,3631.366
-14.42,3501.519
-14.397,3468.244
-14.402,3379.992
-14.472,3353.588
-14.406,3265.335
-14.446,3212.891
-14.443,3364.8
-14.45,3308.015
-14.421,3368.417
-14.414,3350.333
-14.434,3372.396
-14.478,3414.352
-14.443,3335.142
-14.485,3346.354
-14.337,3308.015
-14.401,3272.931
-14.514,3468.244
-14.451,3544.56
-14.444,3264.974
-14.451,3311.632
-14.437,3261.719
-14.431,3346.354
-14.427,3422.309
-14.421,3395.544
-14.41,3411.097
-14.508,3357.567
-14.375,3434.245
-14.655,3391.927
-14.677,3536.242
-14.686,3639.323
-14.694,3640.408
-14.655,3670.067
