1#风箱负压,CO浓度_mg_m3
-11.103,4141.348
-11.073,4137.37
-11.13,4015.48
-11.099,4073.713
-11.119,3996.311
-11.101,4034.288
-11.041,3966.291
-11.066,3893.591
-11.137,3943.866
-11.033,3958.695
-10.99,4046.947
-10.937,4061.777
-10.994,4098.307
-11.041,4054.543
-11.075,4054.543
-11.118,4080.584
-11.145,3988.715
-11.258,4008.247
-11.356,4023.438
-11.313,3919.994
-11.185,3901.186
-11.029,3833.55
-10.94,3775.318
-10.944,3719.618
-10.841,3628.111
-10.943,3582.176
-11.071,3558.304
-11.096,3547.815
-11.183,3574.942
-11.24,3571.325
-11.09,3494.285
-10.963,3547.815
-10.9,3578.921
-10.996,3571.325
-11.08,3505.498
-11.118,3490.669
-11.038,3528.646
-10.937,3525.029
-10.866,3464.989
-11.07,3426.287
-11.068,3357.928
-10.903,3254.123
-10.843,3205.295
-10.88,3212.891
-11.012,3257.74
-11.25,3197.7
-11.347,3304.037
-11.363,3354.311
-11.148,3391.927
-11.05,3438.223
-11.004,3346.354
-10.944,3319.951
-10.938,3257.74
-10.895,3372.396
-10.93,3505.498
-10.863,3433.883
-10.785,3437.5
-10.742,3453.415
-10.889,3418.692
-11.023,3461.01
-11.037,3438.223
-11.148,3383.608
-11.11,3457.031
-10.985,3578.921
-10.91,3604.963
-10.893,3723.235
-10.995,3768.084
-11.096,3650.897
-11.086,3617.622
-11.115,3631.004
-11.213,3708.044
-11.372,3704.789
-11.375,3707.682
-11.223,3627.387
-11.051,3757.234
-10.976,3791.956
-10.836,3844.04
-10.925,3866.826
-10.867,3874.783
-10.844,3981.12
-10.83,4065.755
-10.874,4137.37
-10.993,4123.987
-11.062,4188.006
-11.204,4176.071
-11.249,4195.24
-11.157,4199.581
-11.097,4196.325
-10.963,4313.875
-11.064,4754.413
-11.306,4852.431
-11.428,4597.801
-11.491,4628.544
-11.664,4678.458
-11.664,4621.311
-11.721,4549.335
-11.62,4490.379
-11.56,4393.085
-11.557,4328.342
-11.563,4267.578
-11.518,4243.707
-11.453,4195.602
-11.428,4283.131
-11.618,4385.127
-11.634,4294.343
-11.401,4396.702
-11.263,4252.387
-11.204,4190.9
-11.3,4134.115
