1#大烟道温度,CO浓度_mg_m3
160.7,3158.637
159.4,3170.573
158.2,3292.463
156.8,3350.333
155.5,3501.881
154.9,3532.625
154.8,3483.435
155.1,3388.672
155.5,3304.398
155.6,3224.465
155.5,3196.615
155.5,3162.977
155.4,2663.846
155.2,1125.217
155.0,3096.065
155.0,3276.91
154.9,3261.719
154.7,3242.911
154.2,3350.333
154.0,3421.947
154.3,3391.927
154.9,3373.119
155.6,3273.655
156.1,3193.721
156.0,3242.549
155.3,3331.163
154.4,3461.01
153.7,3525.029
153.1,3563.73
153.0,3574.942
153.6,3501.881
153.6,3461.01
153.7,3697.193
153.4,3586.878
152.9,3536.242
152.5,3464.989
152.5,3532.625
152.9,3556.135
153.4,3505.859
153.6,3449.436
153.5,3414.713
153.6,3479.456
154.1,3517.433
155.2,3490.669
156.1,3372.396
157.0,3346.354
157.7,3323.568
158.0,3350.333
158.5,3354.311
159.4,3346.354
159.9,3323.568
160.2,3308.015
160.4,3261.719
160.5,3261.719
160.9,3228.082
161.5,3281.25
161.4,3300.419
160.5,3288.846
159.5,3387.949
158.8,3468.605
158.2,3475.477
157.7,3464.989
157.6,3445.819
157.4,3425.564
156.7,3395.544
155.7,3331.163
154.9,3411.097
154.4,3419.054
154.5,3416.522
154.9,3464.989
155.6,3475.477
156.0,3536.242
156.5,3601.346
157.1,3619.792
157.9,3678.024
158.6,3611.834
158.7,3619.792
158.2,3634.26
157.6,3607.856
157.2,3654.876
157.2,3619.792
157.7,3628.111
158.6,3589.048
159.4,3635.706
159.7,3748.553
159.0,3768.084
157.8,3863.209
156.2,3902.272
154.5,4023.799
152.8,4008.608
151.6,3977.141
151.1,4066.479
151.0,4058.883
151.2,4047.309
151.4,3981.481
151.5,3981.481
151.1,3989.077
150.4,4004.268
149.1,4035.373
148.1,3969.908
147.3,4118.923
146.6,4187.645
146.8,4207.176
148.4,4195.602
151.0,4321.47
153.9,4328.704
156.0,4222.005
157.3,4099.392
157.9,4092.159
157.9,3973.886
158.2,3989.077
158.4,3973.886
157.9,3956.163
157.7,3890.697
157.4,3932.653
157.4,3894.676
157.4,3878.762
157.2,3868.273
156.7,3867.549
156.3,3855.975
155.7,3909.867
154.9,3906.25
