13#风箱温度,CO浓度_mg_m3
334.5,3304.037
306.05,3354.311
300.79999999999995,3391.927
342.7,3438.223
380.75,3346.354
380.3,3319.951
346.75,3257.74
321.79999999999995,3372.396
342.7,3505.498
340.45000000000005,3433.883
354.85,3437.5
354.65,3453.415
301.1,3418.692
289.8,3461.01
344.15,3438.223
404.95,3383.608
415.04999999999995,3457.031
377.85,3578.921
317.9,3604.963
272.5,3723.235
260.55,3768.084
277.4,3650.897
282.9,3617.622
273.35,3631.004
265.75,3708.044
267.4,3704.789
271.4,3707.682
282.4,3627.387
301.5,3757.234
326.65,3791.956
361.25,3844.04
328.9,3866.826
282.5,3874.783
264.4,3981.12
249.05,4065.755
231.5,4137.37
229.6,4123.987
236.25,4188.006
239.0,4176.071
219.0,4195.24
210.7,4199.581
226.15,4196.325
221.3,4313.875
200.65,4754.413
185.45,4852.431
177.3,4597.801
186.25,4628.544
211.7,4678.458
241.39999999999998,4621.311
276.79999999999995,4549.335
291.79999999999995,4490.379
305.5,4393.085
327.0,4328.342
353.25,4267.578
337.5,4243.707
317.35,4195.602
298.20000000000005,4283.131
268.29999999999995,4385.127
262.15,4294.343
263.4,4396.702
291.45000000000005,4252.387
307.6,4190.9
310.4,4134.115
321.7,4129.774
333.0,4168.475
310.0,4184.39
289.55,4236.835
274.05,4267.216
259.6,4180.049
267.9,4317.491
273.3,4332.682
278.85,4301.939
286.75,4240.452
304.25,4259.621
300.04999999999995,4271.557
307.0,4329.427
304.7,4365.958
297.8,4310.257
312.5,4217.303
319.25,4295.066
317.15,4214.41
284.25,4435.041
248.89999999999998,4472.294
217.05,4667.607
208.9,4705.223
227.9,4755.136
276.6,4624.566
335.3,4670.862
328.95,4564.525
300.25,4567.781
288.6,4555.845
305.15,4541.377
331.6,4399.233
339.75,4157.625
344.15,4046.224
339.95,4102.648
313.2,4160.518
266.3,4207.176
239.25,4210.431
225.95,4244.792
231.75,4271.195
244.35,4191.985
249.55,4095.052
274.2,4027.778
309.9,3953.27
340.3,3837.891
368.75,3814.381
358.3,3741.681
342.0,3501.519
322.65,885.778
316.05,3357.567
309.15,3642.94
294.7,3646.919
288.6,3674.407
289.95,3615.451
287.0,3616.175
311.5,3604.963
328.5,3631.727
326.0,3598.09
323.7,3598.09
319.79999999999995,3586.878
316.95000000000005,3438.223
311.75,3354.311
319.4,3300.419
341.79999999999995,3269.314
368.75,3331.163
362.8,3395.544
335.15,3448.713
320.65,3426.287
319.6,3464.989
332.0,3453.415
334.7,3365.162
315.7,3475.839
287.5,3521.05
282.7,3524.305
294.95000000000005,3567.347
314.04999999999995,3525.029
344.15,3498.264
365.65,3486.328
353.15,3517.433
325.54999999999995,3619.792
312.65,3616.175
304.95,3631.366
321.5,3567.347
333.04999999999995,3501.881
334.05,3422.309
342.25,3386.14
360.0,3342.737
369.0,3257.74
375.65,3304.037
384.9,3212.891
388.95,3166.233
394.6,3238.571
371.95,3286.314
321.95,3361.183
285.20000000000005,3449.436
282.6,3403.139
271.25,3407.118
276.5,3438.223
300.95000000000005,3430.628
317.55,3423.033
319.4,3418.692
312.85,3498.264
289.15,3525.029
263.1,3525.029
248.15,3494.285
256.55,3517.433
276.2,3610.026
253.45000000000002,3563.73
247.75,3594.112
263.6,3616.175
272.65,3547.815
287.04999999999995,3574.942
305.0,3528.284
305.29999999999995,3498.264
289.85,3552.156
261.55,3624.132
253.95,3650.535
284.35,3662.471
286.65,3556.135
289.55,3544.199
308.6,3563.73
309.5,3520.689
314.9,3475.839
333.25,3433.883
367.04999999999995,3395.182
354.25,3433.883
318.95,3461.01
306.7,3461.01
308.9,3395.544
300.15,3509.838
286.6,3642.94
255.7,3586.516
251.45,3601.346
259.35,3608.579
251.8,3563.73
256.65,3540.22
273.20000000000005,3457.031
299.35,3426.287
293.05,3457.031
288.05,3411.097
292.55,3460.648
288.0,3494.285
294.04999999999995,3461.01
295.15,3479.094
276.70000000000005,3567.347
242.4,3563.006
233.05,3528.646
234.65,3525.029
254.05,3566.623
272.05,3505.859
281.8,3426.287
300.85,3391.927
312.79999999999995,3406.033
305.04999999999995,3354.311
284.3,3399.523
266.35,3404.586
238.7,3445.819
226.55,3479.456
222.6,3528.646
232.1,3575.666
241.5,3552.156
264.15,3479.456
278.35,3435.692
293.95,3422.309
302.9,3391.927
306.1,3376.736
301.6,3357.567
290.29999999999995,3319.951
280.7,3265.335
282.45,3272.57
306.75,3232.06
313.15,3242.549
306.3,3216.869
304.8,3254.123
306.4,3269.676
290.95,3257.74
271.4,3284.867
257.55,3288.846
259.1,3376.736
254.15,3387.587
247.9,3414.713
233.5,3407.118
246.15,3395.544
272.6,3395.544
306.6,3304.037
312.6,3319.951
292.4,3280.527
285.95,3284.867
300.95,3319.951
320.9,3331.163
334.5,3246.528
339.35,3232.06
317.15,3239.294
290.0,3284.867
277.9,3368.417
286.95,3331.163
320.2,3246.528
342.05,3158.999
357.45,3131.872
359.3,3106.192
367.35,3131.872
353.5,3083.767
329.05,3139.468
